ID,SMILES,mw,Group,SA,_nn_tanimoto,scaffold
EN300-1569698,CC1(C(=O)O)CN(C(=O)C(CNC(=O)OCC2c3ccccc3-c3ccccc32)C(F)(F)F)C1,476.45,Comprehensive,3.315754634806395,0.7627118644067796,O=C(NCCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-32385693,CC(CCCc1ccc(NC(=O)OCc2ccccc2)cc1)C(=O)O,341.4,Comprehensive,2.275399594203259,0.7333333333333333,O=C(Nc1ccccc1)OCc1ccccc1
EN300-1482316,CN(C(=O)Cc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cc1)C(C)(C)C(=O)O,472.53,Comprehensive,2.466823167969862,0.75,O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21
EN300-650223,O=C(O)CCCc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cc1,401.46,Comprehensive,2.072117534064452,0.8666666666666667,O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21
EN300-1499135,CN(C(=O)CCOCCNC(=O)OCC1c2ccccc2-c2ccccc21)C1(C(=O)O)CCCC1,480.55,Comprehensive,2.795475447404712,0.9642857142857143,O=C(CCOCCNC(=O)OCC1c2ccccc2-c2ccccc21)NC1CCCC1
EN300-1523501,CC1(C(=O)O)CN(C(=O)c2ccc(NC(=O)OCC3c4ccccc4-c4ccccc43)c(Cl)c2)C1,490.94,Comprehensive,2.516902445834853,0.8333333333333334,O=C(Nc1ccc(C(=O)N2CCC2)cc1)OCC1c2ccccc2-c2ccccc21
EN300-1490151,O=C(NCCOCC(=O)N1CCCC[C@@H]1C(=O)O)OCC1c2ccccc2-c2ccccc21,452.5,Comprehensive,2.8533705130786124,1.0,O=C(NCCOCC(=O)N1CCCCC1)OCC1c2ccccc2-c2ccccc21
EN300-1541661,O=C(O)CC1CN(C(=O)C(NC(=O)OCC2c3ccccc3-c3ccccc32)C(F)(F)F)C1,462.42,Comprehensive,3.0952443699100405,0.8245614035087719,O=C(NCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1516238,O=C(O)CC1CN(C(=O)c2ccc(NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)C1,456.49,Comprehensive,2.301619950472185,0.8181818181818182,O=C(Nc1ccc(C(=O)N2CCC2)cc1)OCC1c2ccccc2-c2ccccc21
EN300-1489044,O=C(O)CN1CCN(C(=O)CCCNC(=O)OCC2c3ccccc3-c3ccccc32)CC1,451.52,Comprehensive,2.3228507619973104,0.9423076923076923,O=C(NCCCC(=O)N1CCNCC1)OCC1c2ccccc2-c2ccccc21
