ID,SMILES,mw,Group,SA
EN300-1792983,C[C@H](O)Cc1ccc(O)c(F)c1,170.18,Comprehensive,2.487723959250273
EN300-1802749,COc1cc(O)ccc1CC[C@H](C)O,196.24,Comprehensive,2.47014074163174
EN300-1866691,C[C@H](O)Cc1cccc(O)c1,152.19,Comprehensive,2.333186484139665
EN300-1932638,OCC(F)(F)c1ccc(O)cc1,174.15,Comprehensive,2.2325497344847616
EN300-116733,OCCc1ccc(O)cc1,138.16,Comprehensive,1.607063322719469
EN300-244820,C[C@@H](O)c1ccc(O)cc1,138.16,Comprehensive,2.145757052979487
EN300-1974304,Oc1ccc(CC(O)C(F)(F)F)c(Cl)c1,240.61,Comprehensive,2.815896544752862
EN300-1984274,C[C@@H](O)c1ccc(O)c(Cl)c1,172.61,Comprehensive,2.390973964245765
EN300-7809270,Cc1cc(O)cc(=O)n1CCO,169.18,Comprehensive,2.4227050229463
EN300-1868640,C[C@H](O)c1ccc(O)c(F)c1,156.15,Comprehensive,2.4185278103996115
EN300-21091,OCc1ccc(O)cc1,124.14,Comprehensive,1.5201258533794029
EN300-1296562,OCCCc1cnn(-c2ccc(O)cc2)c1,218.25,Comprehensive,2.085908676017228
EN300-8118681,OCc1ccc(O)cc1C(F)(F)F,192.14,Comprehensive,2.2217275328142563
EN300-55888,OCc1cccc(O)c1,124.14,Comprehensive,1.672128930302479
EN300-244807,C[C@H](O)c1ccc(O)cc1,138.16,Comprehensive,2.145757052979487
EN300-1975891,C[C@@H](O)CCc1ccc(O)c(Cl)c1,200.66,Comprehensive,2.4293568868622515
EN300-1822065,C[C@@H](O)CCc1ccc(O)cc1F,184.21,Comprehensive,2.5660382055435704
EN300-7243012,OCc1cc(O)ccn1,125.13,Comprehensive,2.478612007225557
EN300-1992212,OCCc1ccc(O)cc1Cl,172.61,Comprehensive,1.985975720912613
EN300-1855759,OCC1(Cc2ccc(O)cc2)CC1,178.23,Comprehensive,2.109805134624212
EN300-1792570,OCC1(Cc2ccc(O)c(F)c2)CC1,196.22,Comprehensive,2.340211354922907
EN300-3212085,OCc1c(F)cc(O)cc1F,160.12,Comprehensive,2.4721281877561143
EN300-2000193,CC(O)CCc1ccc(O)cc1Cl,200.66,Comprehensive,2.538065018730382
EN300-29071739,OCC(Cc1ccc(O)cc1)C(F)(F)F,220.19,Comprehensive,2.767928497415584
EN300-1250800,COc1cc(CCO)ccc1O,168.19,Comprehensive,1.7522296732959504
EN300-1857324,Cc1cc(CCCO)cc(C)c1O,180.24,Comprehensive,2.018717552206628
EN300-1801228,Cc1cc(CC[C@@H](C)O)cc(C)c1O,194.27,Comprehensive,2.5710963385241783
EN300-1869820,OCCCc1ccccc1O,152.19,Comprehensive,1.7489968623518202
EN300-1981384,CC(C)(CO)Cc1ccc(O)c(Cl)c1,214.69,Comprehensive,2.285157924569477
EN300-24793771,Cl.OCc1ccc(O)cn1,161.59,Comprehensive,2.483814337089713
EN300-1931419,Oc1ccc(C(O)C(F)(F)F)cc1,192.14,Comprehensive,2.5850188390277324
EN300-116795,OCc1ccc(O)c(Cl)c1,158.58,Comprehensive,1.823100135906282
EN300-1933403,Oc1ccc(CC(O)C(F)(F)F)cc1,206.16,Comprehensive,2.541405694033534
EN300-7980771,OCCOCc1ccc(O)cc1,168.19,Comprehensive,1.7464741405933584
EN300-1801182,C[C@H](O)CCc1cccc(O)c1,166.22,Comprehensive,2.3146726043551684
EN300-1992214,CC(O)Cc1ccc(O)cc1Cl,186.64,Comprehensive,2.522940786173349
EN300-16700,OCCOc1ccccc1O,154.16,Comprehensive,1.6919551750069068
EN300-95947,OCCOc1ccc(O)cc1,154.16,Comprehensive,1.5825035621036818
EN300-1930100,Oc1ccc(C(O)C(F)(F)F)cc1Cl,226.58,Comprehensive,2.787518271996113
EN300-1838685,C[C@H](O)CCc1ccc(O)cc1,166.22,Comprehensive,2.195083793166358
EN300-1991424,OCC1(Cc2ccc(O)cc2Cl)CC1,212.67,Comprehensive,2.3767324075544867
EN300-1997412,C[C@@H](O)Cc1ccc(O)cc1Cl,186.64,Comprehensive,2.522940786173349
EN300-1932009,Oc1ccc([C@@H](O)C(F)(F)F)cc1,192.14,Comprehensive,2.5850188390277324
EN300-691880,CC(O)c1ccc(O)cc1Cl,172.61,Comprehensive,2.4948821870574367
EN300-1981422,CC(O)Cc1ccc(O)c(Cl)c1,186.64,Comprehensive,2.453069632327196
EN300-1800747,Cc1ccc(CCO)cc1O,152.19,Comprehensive,1.882997259374152
EN300-1794431,CC(O)Cc1ccc(O)c(F)c1,170.18,Comprehensive,2.487723959250273
EN300-1942421,Oc1ccc(CC(O)C(F)(F)F)cc1F,224.15,Comprehensive,2.776133231143394
EN300-1933425,Oc1ccc([C@H](O)C(F)(F)F)cc1,192.14,Comprehensive,2.5850188390277324
EN300-77826,CN(CCO)C(=O)c1cccc(O)c1,195.22,Comprehensive,1.912048197028172
EN300-1802748,COc1cc(O)ccc1CC[C@@H](C)O,196.24,Comprehensive,2.47014074163174
EN300-2001181,COc1cc(CC[C@@H](C)O)ccc1O,196.24,Comprehensive,2.3134532922390267
EN300-1822609,CC(O)CCc1ccc(O)cc1F,184.21,Comprehensive,2.5660382055435704
EN300-1855391,OCCCc1ccc(O)cc1F,170.18,Comprehensive,1.995888414554692
EN300-317721,OCCc1cc(O)cc(Cl)c1,172.61,Comprehensive,2.119009567066461
EN300-29383,Cc1cc(CO)cc(C)c1O,152.19,Comprehensive,1.9852067023449749
EN300-330034,OCC#Cc1ccc(O)cc1,148.16,Comprehensive,2.114990907016834
EN300-1942384,Oc1ccc([C@@H](O)C(F)(F)F)cc1F,210.13,Comprehensive,2.809714425842266
EN300-1822066,C[C@H](O)CCc1ccc(O)cc1F,184.21,Comprehensive,2.5660382055435704
EN300-1951421,Oc1ccc(C(O)C(F)(F)F)c(F)c1,210.13,Comprehensive,2.912649041226881
EN300-1942387,Oc1ccc([C@H](O)C(F)(F)F)cc1F,210.13,Comprehensive,2.809714425842266
EN300-1848588,CC(C)(CO)c1ccc(O)cc1,166.22,Comprehensive,2.0347920421770684
EN300-1869095,C[C@@H](O)Cc1ccc(O)cc1,152.19,Comprehensive,2.1916464841396657
EN300-1945464,Oc1ccc(CC(O)C(F)(F)F)cc1Cl,240.61,Comprehensive,2.747698911616766
EN300-1850741,Cc1cc(CCO)cc(C)c1O,166.22,Comprehensive,2.0471713691001447
EN300-1945924,OCCC(F)(F)c1ccc(O)c(Cl)c1,222.62,Comprehensive,2.5276115628231146
EN300-1700719,OCCc1ccc(O)c(F)c1,156.15,Comprehensive,1.9202711055279984
EN300-1995024,C[C@H](O)c1ccc(O)cc1Cl,172.61,Comprehensive,2.4948821870574367
EN300-123287,CC(CO)CBr,153.02,Comprehensive,3.363150542282442
EN300-649278,OCc1cnc(CCl)o1,147.56,Comprehensive,3.039525237994789
EN300-218458,OC1CCC(CCl)CC1,148.63,Comprehensive,2.4235430841486334
EN300-124584,OCc1ccc(CCl)cc1,156.61,Comprehensive,1.6925682677744156
EN300-304702,CC(O)CCBr,153.02,Comprehensive,3.3172828499747498
EN300-2803502,CN(CCO)C(=O)CBr,196.04,Comprehensive,2.575395900202146
